"Country","revenue"
United Kingdom,7308391.55
Netherlands,285446.34
EIRE,265545.90
Germany,228867.14
France,209024.05
Australia,138521.31
Spain,61577.11
Switzerland,56443.95
Belgium,41196.34
Sweden,38378.33
Japan,37416.37
Norway,36165.44
Portugal,33439.89
Finland,22546.08
Singapore,21279.29
Channel Islands,20450.44
Denmark,18955.34
Italy,17483.24
Cyprus,13590.38
Austria,10198.68
Poland,7334.65
Israel,7221.69
Greece,4760.52
Iceland,4310.00
Canada,3666.38
USA,3580.39
Malta,2725.59
Unspecified,2667.07
United Arab Emirates,1902.28
Lebanon,1693.88
Lithuania,1661.06
European Community,1300.25
Brazil,1143.60
RSA,1002.31
Czech Republic,826.74
Bahrain,548.40
Saudi Arabia,145.92
